标题,租金,房型,租赁方式,装修,区域1,区域2,面积,朝向,住宅类型,小区名,地址,年代,容积率,绿化率,链接
房东直租，绿地康桥新苑，御桥地铁房，拎包入住，看中价格可谈,3100,2室2厅1卫,整租,精装修,浦东新区,康桥,77平米,南北,公寓,绿地康桥新苑,沪南公路2688弄                                                    ,2005年,1.2,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085425112
淮海路新豪宅，露香园豪华装修配置，享受奢华，适合有品位的您,15000,2室2厅2卫,整租,豪华装修,黄浦区,豫园,165平米,南北,公寓,露香园(公寓),露香园路88弄                                                    ,2014年,3.2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084844567
高层电梯房采光好，近11号线，精装全配，拎包住,4000,1室2厅1卫,整租,精装修,普陀区,万里,65平米,南,普通住宅,万里晶品苑,新村路2080弄1-11号                                                    ,2009年,1.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085977539
公寓直租 只剩几间啦 随时入住 近小上海步行街 万达广场,1500,1室1厅1卫,整租,精装修,浦东新区,周浦,24平米,南北,公寓,新育公寓,东八灶115弄1-31号                                                    ,2004年,1.5,24%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083346800
整租  全新精装修双南两房！笋房出租临近4/6线仁济医院《,4500,1室1厅1卫,整租,简单装修,浦东新区,塘桥,35平米,南,普通住宅,峨山小区,南泉路1211弄                                                    ,1984年,暂无,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085780678
紧邻地铁+采光充足 +配套齐全+ 生活方便 交通便利 随时看,6200,2室2厅1卫,整租,精装修,浦东新区,高行,109平米,南北,普通住宅,证大家园(三期),巨峰路399弄                                                    ,2006年,1.31,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086013060
金茂花园+地铁六号线+精装修+简约大方+钥匙房+拎包入住,5000,2室2厅1卫,整租,精装修,浦东新区,金杨,100平米,南,普通住宅,金茂花园(北座),浦东大道2515号                                                    ,1998年,暂无,26%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084932267
采光好 靠近地铁10号线 家具家电齐全 拎包入住 附近公园,5500,2室2厅1卫,整租,精装修,杨浦区,新江湾城,111平米,南北,公寓,合生江湾国际公寓,政和路999弄                                                    ,2007年,1.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084473143
主卧无中介押一付一独立卫生间免费保洁周边配套齐全随时看房,1800,3室1厅1卫,合租,精装修,长宁区,新华路,20平米,南,普通住宅,红庄小区,法华镇路20弄                                                    ,1991年,2.1,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084410586
好房出租！荡湾新村2室2厅仅租1700元/月，家具家电齐全,1700,2室2厅1卫,整租,精装修,浦东新区,惠南,65平米,南北,普通住宅,荡湾新村,城东路80号                                                    ,2000年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085071229
九峰小区 精装三房 紧邻九号线地铁口 随时看房 拎包入住,2900,3室2厅1卫,整租,精装修,松江区,松江老城,94平米,南北,公寓,九峰小区,乐都路296弄                                                    ,2000年,1.5,26%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084354638
2号线房一房一厅 房型正气 精品欧式装修 近西郊百联紧邻地铁,3500,1室1厅1卫,整租,精装修,长宁区,北新泾,50平米,南北,普通住宅,金菊小区,泉口路185弄                                                    ,1996年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085599150
W吴镝D 南方新村近地铁+南方商城+近儿科医院+家具齐全,4000,1室1厅1卫,整租,精装修,闵行区,古美,45平米,南,普通住宅,南方新村,古美西路86弄                                                    ,1995年,2,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085659424
五角场、10号线江湾体育场、万达、百联、财大、复旦、尽在周围,4000,2室1厅1卫,整租,精装修,杨浦区,江湾体育场,67平米,南北,普通住宅,国定路600弄小区,国定路600弄                                                    ,1996年,1.8,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084473241
房东急租、随时看房、交通便利、价格可谈,3800,1室1厅1卫,整租,精装修,普陀区,甘泉宜川,45平米,南,公寓,汪家井小区,交通路2285弄                                                    ,1987年,2,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085182841
南山雨果，豪装2房，中央空调地暖，配置高档家具，看房随时,6000,2室2厅1卫,整租,豪华装修,青浦区,徐泾,86平米,南,公寓,南山雨果(公寓),叶联路666弄                                                    ,2014年,1,41%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082612856
Nice、万科假日一套精装温馨小三房5000！真实房源随时看,5000,3室1厅1卫,整租,精装修,闵行区,春申,92平米,南北,普通住宅,假日风景(春申万科城别墅),畹町路99弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083535618
复式公寓，精装修，拎包入住，家具家电全配,2300,1室1厅1卫,整租,精装修,宝山区,顾村,38平米,南北,公寓,上坤乐城,富联路646弄                                                    ,2015年,2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1080233672
上门挂牌业主委托，有钥匙，开发商装修，配置齐全！,3600,2室1厅1卫,整租,精装修,徐汇区,长桥,62平米,南,普通住宅,馨宁公寓,华发路406弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084743173
整租+付一押一+房东急租+赠送固定车位+精装修+家具家电全配,3000,2室1厅1卫,整租,精装修,杨浦区,中原,54平米,南,普通住宅,国和一村,国和一村                                                    ,1992年,1.8,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084798493
紧靠地铁 中等装修别墅 繁华地段 居家办公均可,5000,4室2厅4卫,整租,中等装修,闵行区,老闵行,180平米,南北,别墅,合生城邦(一街坊公寓),金平路555弄                                                    ,2005年,0.98,55%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084016894
"距地铁步行5,紧靠家乐福,精装全配,随时看房,随看随签",4600,2室1厅1卫,整租,中等装修,徐汇区,康健,70平米,南,普通住宅,康乐小区(徐汇),钦州南路531弄                                                    ,1992年,1.36,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085735305
盛大青春里朝南欧式风格精装修2室2厅家具家电齐全现房,4700,2室2厅2卫,整租,精装修,浦东新区,孙桥,54平米,南,普通住宅,盛大天地青春里,华夏中路958弄                                                    ,2015年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083062888
新出1房出租，豪华装修，拎包入住，有钥匙，特价出租中,11000,1室2厅1卫,整租,豪华装修,长宁区,新华路,67平米,南,公寓,鸿发苑,新华路2号                                                    ,1999年,暂无,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082973110
二号线广兰路豪华大面积两房环境优美交通便利楼层佳采光好！！,6800,2室2厅2卫,整租,豪华装修,浦东新区,张江,92平米,南北,普通住宅,阳光花城(公寓),紫薇路667弄                                                    ,2007年,1.59,37%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082413023
证大四期  精装修  合租 新出房源 近地铁 交通便利  急,2500,1室,合租,精装修,浦东新区,高行,151平米,南北,普通住宅,证大家园(四期),五莲路1769弄                                                    ,2003年,1.3,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083657346
靠近地铁，交通方便，没有租约，随时起租，价格能谈。,3000,2室2厅1卫,整租,简单装修,嘉定区,江桥,78平米,南,普通住宅,金沙鼎苑,金耀路555弄                                                    ,2012年,3,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1080518020
急租！业主委托钥匙，随时看，2房2厅1卫，98平米，主南次北,8500,2室2厅1卫,整租,中等装修,长宁区,天山,98平米,南北,公寓,上海花城,长宁路1818弄                                                    ,2000年,暂无,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086287364
精装大一室一厅房间坐北朝南采光通风好出门50米即是地铁7号线,3200,1室1厅1卫,整租,精装修,普陀区,光新,45平米,南,普通住宅,管弄三街坊,管弄路311弄1-57号                                                    ,1997年,2,37%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083038239
"水闸小区繁华地段，闹中取静，精装3房,南北通透",1800,3室1厅1卫,整租,精装修,奉贤区,西渡,110平米,南北,普通住宅,水闸小区,沪杭公路149弄                                                    ,1996年,1.8,36%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086040679
常熟路地铁 中央空调 地暖 全新装修 带车位 汇贤居3房,24000,3室2厅2卫,整租,豪华装修,徐汇区,衡山路,149平米,南,公寓,汇贤居,乌鲁木齐中路99弄                                                    ,2004年,3,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083355539
海伦路地铁站旁 带空调 真实图片 900到1700的都有,900,1室1卫,合租,中等装修,虹口区,临平路,10平米,南,普通住宅,晨林花苑,物华路98弄                                                    ,2003年,2.5,36%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084629019
金杨六街坊+近6号线+中间楼层+全明两房+温馨舒适+拎包入住,4000,2室1厅1卫,整租,精装修,浦东新区,金杨,70平米,南北,公寓,金杨新村六街坊,灵山路2000弄                                                    ,1995年,暂无,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084514656
金汇丽舍丨自住初次出租：2房精装、价可小刀、随看随住、请电联,7500,2室2厅2卫,整租,豪华装修,闵行区,龙柏金汇,100平米,南北,普通住宅,金汇丽舍韵动时代,金汇路460弄                                                    ,2002年,1.7,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082867833
周浦东站医学园区旁精装全配三房3000看房随时拎包入住,3000,3室2厅1卫,整租,中等装修,浦东新区,周浦,90平米,南,普通住宅,汇福家园兴盛里(北区),周秀路168弄                                                    ,2013年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081990514
近地铁、精装修全配、配套齐全、诚心出租、有钥匙随时看房,3000,1室1厅1卫,整租,精装修,宝山区,通河,42平米,南,普通住宅,通河一村,通河路100弄                                                    ,1995年,2.8,43%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1079773016
7号线芳华路 芳佳苑 朝南主卧带独卫次卧带阳台 民用水电,2230,3室2厅2卫,合租,精装修,浦东新区,花木,122平米,南,普通住宅,芳佳苑,芳草路36弄                                                    ,2000年,1.8,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1074073535
外滩豪宅+业主急租+精装新配+有车位+价格看中可商量+可长租,12500,3室2厅2卫,整租,精装修,黄浦区,黄浦滨江,156平米,南北,普通住宅,上海滩花园,紫霞路199弄                                                    ,2006年,3.3,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085803215
二联馨苑 2500元 1室1厅1卫 豪华装修小区安静，出租,2500,1室1厅1卫,整租,豪华装修,青浦区,徐泾,45平米,南,普通住宅,二联馨苑,徐灵路300弄                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084121340
新房源 房东出租 随时入住 地铁口 精装电梯房 看房预约,5800,3室2厅2卫,整租,精装修,闵行区,七宝,128平米,南北,普通住宅,万科城市花园,七莘路3333弄                                                    ,2011年,暂无,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085681880
